aid	chr1	coord1	strand1	chr2	coord2	strand2	extra
392	1	217875684	+	11	134712045	-	aid=392;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
396	1	217875833	+	11	134713342	+	aid=396;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
100	1	226227485	+	5	33824956	+	aid=100;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
469	1	244878204	+	1	244880429	-	aid=469;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
20	10	13031944	+	10	13032474	-	aid=20;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
68	10	23698550	+	10	23699273	-	aid=68;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
190	10	38916426	+	10	62031352	+	aid=190;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
191	10	38916699	-	10	62031353	-	aid=191;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
226	10	45449300	-	10	77686354	+	aid=226;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
154	10	54027518	-	10	54104072	+	aid=154;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
214	10	73327709	+	10	73328238	-	aid=214;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
221	10	76346087	+	10	76348408	-	aid=221;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
238	10	79528489	+	10	79528951	-	aid=238;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
263	10	82501407	+	10	89632596	+	aid=263;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
255	10	82514859	-	10	87039028	+	aid=255;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
246	10	82627797	+	10	83792731	+	aid=246;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
256	10	82628098	-	10	87065514	-	aid=256;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
283	10	82935482	+	10	92170696	+	aid=283;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
251	10	82954967	-	10	85153882	+	aid=251;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
266	10	83809307	-	10	89823808	-	aid=266;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
254	10	84653430	+	10	86932821	+	aid=254;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
279	10	84666641	-	10	91895520	+	aid=279;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
277	10	85157270	-	10	91476853	-	aid=277;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
281	10	86942405	-	10	92069338	+	aid=281;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
270	10	87329392	+	10	90374951	-	aid=270;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
259	10	87356288	-	10	88163120	+	aid=259;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
257	10	87753704	+	10	87764680	-	aid=257;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
262	10	88054815	+	10	89445136	-	aid=262;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
260	10	88087041	-	10	88341714	-	aid=260;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
264	10	89439377	+	10	89640860	-	aid=264;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
265	10	89717766	+	10	89718757	-	aid=265;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
268	10	89822042	+	10	90100423	-	aid=268;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
276	10	90084501	+	10	91453132	+	aid=276;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
280	10	90369628	+	10	91944958	-	aid=280;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
284	10	92071430	-	10	92221073	-	aid=284;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
333	10	116924030	+	10	116938451	-	aid=333;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
336	10	117993132	+	10	118003436	-	aid=336;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
363	10	123442652	+	10	123444844	-	aid=363;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
370	10	124410358	+	10	124446115	-	aid=370;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
314	10	124677443	+	12	103312081	-	aid=314;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
1	11	560709	+	11	687516	-	aid=1;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
148	11	8325939	-	20	49621504	-	aid=148;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
52	11	20610031	-	11	20980452	+	aid=52;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
70	11	21924312	+	11	24211704	-	aid=70;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
80	11	26653211	+	11	26657263	-	aid=80;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
147	11	49702954	+	17	49497124	+	aid=147;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
180	11	56726280	+	11	59583470	-	aid=180;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
189	11	61859823	+	11	61865557	+	aid=189;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
197	11	65008067	+	11	65008539	-	aid=197;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
223	11	77444400	+	11	77449845	+	aid=223;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
224	11	77444679	-	11	77449846	-	aid=224;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
269	11	90101587	+	11	90325707	-	aid=269;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
275	11	90335192	+	11	90858377	+	aid=275;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
289	11	94914336	-	11	94920294	+	aid=289;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
377	11	126799850	+	11	126800347	-	aid=377;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
397	11	134712196	+	11	134713430	-	aid=397;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
13	12	4885563	+	12	4886664	-	aid=13;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
28	12	15321251	-	12	17417506	-	aid=28;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
29	12	15321305	+	12	17419100	+	aid=29;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
24	12	15519065	+	12	15519480	-	aid=24;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
39	12	18025895	-	12	18027192	-	aid=39;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
38	12	18026072	+	12	18026550	-	aid=38;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
120	12	41075561	+	12	41179764	-	aid=120;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
142	12	46450440	+	12	46451583	-	aid=142;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
310	12	48046364	+	14	102387816	-	aid=310;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
311	12	48046365	-	14	102387815	+	aid=311;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
146	12	49227380	+	12	49238490	-	aid=146;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
215	12	56993736	-	15	73421190	+	aid=215;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
209	12	69428943	+	12	69434945	-	aid=209;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
236	12	79405888	+	12	79406512	-	aid=236;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
286	12	93477918	+	12	93480400	-	aid=286;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
183	12	107652860	+	13	61460722	+	aid=183;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
376	12	113640306	+	12	126355201	-	aid=376;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
375	12	113640307	-	12	126355105	+	aid=375;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
341	12	118644920	+	12	118645475	-	aid=341;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
47	12	119670491	+	18	20705125	+	aid=47;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
48	12	119670492	-	18	20705126	-	aid=48;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
362	12	123131688	+	12	123132038	-	aid=362;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
378	12	126997479	+	12	126998313	-	aid=378;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
380	12	127298378	+	12	127299445	-	aid=380;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
381	12	127563554	+	12	127564843	-	aid=381;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
65	13	23370016	+	13	23370818	-	aid=65;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
81	13	28316615	+	13	28317693	-	aid=81;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
220	13	28410879	+	13	75556377	-	aid=220;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
92	13	32106354	+	13	32114945	-	aid=92;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
112	13	32951742	+	13	37311227	-	aid=112;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
102	13	32955792	+	18	33875359	+	aid=102;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
101	13	33875396	-	18	33875023	-	aid=101;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
118	13	33882116	+	18	40900792	+	aid=118;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
240	13	37309364	+	16	79804846	+	aid=240;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
232	13	75922634	+	13	78739760	-	aid=232;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
234	13	75959029	-	13	79259286	-	aid=234;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
225	13	76677846	+	13	77584763	+	aid=225;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
233	13	76686314	-	13	79246405	+	aid=233;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
227	13	76809050	+	13	77806103	-	aid=227;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
231	13	76831891	-	13	78675919	+	aid=231;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
261	13	89234538	+	13	89235782	-	aid=261;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
315	13	103750779	+	13	103751750	-	aid=315;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
114	14	37869085	-	14	38093542	+	aid=114;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
212	14	42240178	+	14	72882805	+	aid=212;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
213	14	44700679	-	14	72882919	-	aid=213;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
151	14	52002462	+	14	52003168	-	aid=151;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
136	14	55072931	+	18	45400970	+	aid=136;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
137	14	55072994	-	18	45400971	-	aid=137;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
282	14	92098331	+	14	92098682	-	aid=282;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
304	14	98078125	-	14	98078441	-	aid=304;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
312	14	100578604	+	14	102460579	-	aid=312;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
96	15	29467286	+	16	33437200	-	aid=96;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
82	15	29467287	-	15	29467930	-	aid=82;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
99	15	29467929	+	16	33437805	-	aid=99;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
98	15	29468082	-	16	33437746	+	aid=98;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
97	15	29468200	+	16	33437361	+	aid=97;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
131	15	44470959	+	15	44504067	-	aid=131;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
210	15	72015920	+	15	72016890	-	aid=210;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
219	15	74781519	+	15	74782455	-	aid=219;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
15	16	9137595	-	16	9139288	+	aid=15;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
46	16	20629883	-	16	20654211	+	aid=46;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
153	16	53668707	-	16	53693422	+	aid=153;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
195	16	63522429	+	16	63536274	-	aid=195;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
88	16	79716854	+	18	31305952	-	aid=88;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
149	17	49676106	-	17	49682094	+	aid=149;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
194	17	63355805	+	17	63386632	-	aid=194;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
200	17	67177831	+	17	67179469	-	aid=200;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
217	17	74213402	+	17	74214429	-	aid=217;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
218	17	74519402	+	17	74521393	-	aid=218;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
241	17	79989176	+	17	79990033	-	aid=241;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
86	18	30628733	+	18	30629376	-	aid=86;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
107	18	31302450	+	18	33877635	+	aid=107;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
116	18	33875625	-	18	40220619	+	aid=116;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
9	19	4062938	+	19	4063859	-	aid=9;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
16	19	10598076	+	19	10600672	-	aid=16;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
21	19	14277437	+	19	14291359	-	aid=21;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
40	19	18148534	+	19	18149576	-	aid=40;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
44	19	18681877	+	19	18694136	-	aid=44;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
157	19	54398708	+	19	54413171	-	aid=157;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
18	2	12027236	+	2	12028352	-	aid=18;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
79	2	26512035	+	2	26514716	-	aid=79;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
242	2	27341884	-	17	80064753	+	aid=242;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
444	2	31507437	+	2	181412431	+	aid=444;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
439	2	31508000	-	2	171765000	+	aid=439;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
139	2	42566206	+	20	45539180	+	aid=139;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
144	2	42566207	-	20	48559298	-	aid=144;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
124	2	43238978	+	2	43240469	-	aid=124;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
135	2	45258560	+	2	45260249	-	aid=135;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
138	2	47613796	+	20	45539181	-	aid=138;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
386	2	47613797	-	2	132394428	-	aid=386;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
196	2	64834822	+	2	64835634	-	aid=196;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
252	2	85773675	+	2	85774055	-	aid=252;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
320	2	107213995	+	2	107216283	-	aid=320;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
374	2	125527635	+	2	125528041	-	aid=374;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
145	2	132394427	+	20	48559297	+	aid=145;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
451	2	139158077	+	2	198594314	-	aid=451;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
167	2	139529583	-	8	55152385	-	aid=167;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
454	2	139722426	+	2	198748929	+	aid=454;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
455	2	139723603	-	2	198942267	-	aid=455;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
405	2	140317269	+	2	140342384	-	aid=405;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
452	2	140616901	+	2	198602401	+	aid=452;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
457	2	141419746	-	2	199554341	+	aid=457;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
163	2	141558723	+	8	54919789	-	aid=163;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
162	2	141741481	+	8	54899249	+	aid=162;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
166	2	141748849	-	8	55120676	+	aid=166;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
453	2	141797913	+	2	198618678	-	aid=453;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
164	2	143390544	-	8	54929650	+	aid=164;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
413	2	144007349	+	2	144008018	-	aid=413;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
417	2	144366527	-	2	147053167	+	aid=417;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
443	2	171765176	-	2	181412143	-	aid=443;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
387	2	171829721	+	12	132562913	-	aid=387;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
388	2	171829722	-	12	132562912	+	aid=388;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
441	2	176065522	+	2	176068239	-	aid=441;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
170	2	191899689	+	8	58669260	+	aid=170;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
42	2	191899690	-	8	18483655	+	aid=42;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
330	2	192017044	+	3	114388414	-	aid=330;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
273	2	192017659	-	8	90751730	-	aid=273;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
156	2	192049209	+	8	54351651	-	aid=156;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
187	2	192385349	-	8	61828104	+	aid=187;cn={'2': {'AA': 0, 'AB': 0, 'BA': 3, 'BB': 0}};at=N
338	2	192388433	-	8	118052694	+	aid=338;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
296	2	192473325	+	8	95435464	-	aid=296;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
43	2	192475215	-	8	18578707	-	aid=43;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
66	2	192546583	+	9	23586131	-	aid=66;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
290	2	192659468	-	8	94944694	+	aid=290;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
345	2	192674171	+	8	120335507	-	aid=345;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
76	2	192674295	-	18	25678377	+	aid=76;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
349	2	192674637	+	8	120784800	+	aid=349;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
188	2	192674638	-	8	61860316	-	aid=188;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
