aid	chr1	coord1	strand1	chr2	coord2	strand2	extra
520	1	24721046	+	8	90283229	+	aid=520;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
316	1	27161514	+	1	55788748	-	aid=316;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
193	1	33536198	+	1	33536934	-	aid=193;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
194	1	33536199	-	1	33537378	+	aid=194;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
227	1	38459836	-	1	38495240	+	aid=227;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
246	1	41464558	-	1	41491895	+	aid=246;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
86	1	43091218	-	3	18850922	+	aid=86;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
196	1	43150652	+	3	33567001	+	aid=196;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
177	1	50149816	-	14	31094677	-	aid=177;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
181	1	50798867	-	14	31523032	-	aid=181;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
184	1	50880255	+	14	31639252	+	aid=184;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
297	1	51461467	-	1	53199017	+	aid=297;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
318	1	56048920	-	1	56185478	+	aid=318;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
321	1	56457964	-	1	56501463	+	aid=321;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
322	1	56507645	-	1	56512993	+	aid=322;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
342	1	58879935	-	1	59784974	+	aid=342;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
346	1	60536207	-	1	60636363	+	aid=346;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
355	1	61310173	+	1	62483846	+	aid=355;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
363	1	62483488	-	1	63566497	-	aid=363;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
240	1	62483899	-	17	40160359	+	aid=240;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
364	1	63566422	+	1	63566747	+	aid=364;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
253	1	63904282	-	17	42343374	-	aid=253;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
379	1	65413776	-	1	65831507	+	aid=379;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
381	1	66463770	-	1	66484376	+	aid=381;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
423	1	72848290	-	1	72870899	+	aid=423;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
451	1	75998032	-	1	76004262	+	aid=451;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
570	1	77738149	+	1	101595128	-	aid=570;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
459	1	77970172	-	1	78551801	+	aid=459;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
512	1	88824747	-	1	88824985	+	aid=512;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
564	1	99725113	-	1	99736821	+	aid=564;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
593	1	105574338	-	1	105578360	+	aid=593;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
74	1	109944163	+	17	16753198	-	aid=74;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
628	1	111320137	-	1	111321609	+	aid=628;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
630	1	112006061	-	1	112050031	+	aid=630;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
632	1	112751660	-	1	112789165	+	aid=632;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
638	1	115276850	-	1	115283946	+	aid=638;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
739	1	153472558	-	1	154079921	-	aid=739;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
743	1	153925886	-	1	155014839	+	aid=743;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
740	1	154079806	+	1	154103974	+	aid=740;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
758	1	160972067	-	1	160984069	+	aid=758;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
759	1	162258012	-	1	162309790	+	aid=759;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
773	1	168532661	-	1	168584698	+	aid=773;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
780	1	173168069	-	1	173176022	+	aid=780;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
782	1	174050600	-	1	174062768	+	aid=782;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
785	1	176650723	-	1	176672696	+	aid=785;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
791	1	184596094	-	1	184681709	+	aid=791;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
663	1	186513360	-	9	121341450	+	aid=663;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
662	1	186559060	+	9	121278852	-	aid=662;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
793	1	186966795	-	1	186980274	+	aid=793;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
801	1	203163840	-	1	203169557	+	aid=801;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
802	1	203934611	-	1	203941112	+	aid=802;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
804	1	205420379	-	1	205424095	+	aid=804;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
812	1	211657591	-	1	211688499	+	aid=812;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
813	1	214851397	-	1	214858840	+	aid=813;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
814	1	218796499	-	1	218807398	+	aid=814;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
815	1	220102728	-	1	220104694	+	aid=815;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
234	1	224222381	-	17	39310072	+	aid=234;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
818	1	229449149	-	1	229453446	+	aid=818;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
738	1	235623843	-	7	151293148	+	aid=738;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
819	1	235984225	-	1	236023831	+	aid=819;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
821	1	236819345	-	1	236825657	+	aid=821;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
822	1	239077313	-	1	239083274	+	aid=822;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
823	1	239801905	-	1	239827213	+	aid=823;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
824	1	241465996	+	1	241466650	-	aid=824;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
179	1	241465997	-	5	31451292	-	aid=179;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
180	1	241466204	+	5	31456837	+	aid=180;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
825	1	246391161	-	1	246691577	+	aid=825;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
826	1	249128120	-	1	249138140	+	aid=826;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
7	10	1424110	-	10	1506763	+	aid=7;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
167	10	3689477	-	22	28359478	-	aid=167;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
165	10	3694848	+	22	28343791	-	aid=165;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
45	10	9907730	-	10	9912562	+	aid=45;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
75	10	15336494	-	10	16805787	+	aid=75;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
109	10	21274187	+	10	21372275	-	aid=109;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
113	10	22212853	-	10	22215913	+	aid=113;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
133	10	23971313	-	10	23975121	+	aid=133;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
158	10	27561401	-	10	27587865	+	aid=158;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
161	10	27712608	-	10	27730567	+	aid=161;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
163	10	27971946	-	10	28026034	+	aid=163;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
178	10	30626279	-	10	31177691	+	aid=178;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
191	10	32739342	-	10	32788428	+	aid=191;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
258	10	43482268	-	10	43486240	+	aid=258;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
560	10	49741280	-	10	99393352	+	aid=560;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
301	10	54086801	-	10	54092998	+	aid=301;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
328	10	57461360	-	10	57467907	+	aid=328;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
344	10	60374567	-	10	60392442	+	aid=344;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
352	10	62198075	-	10	62231768	+	aid=352;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
376	10	65479613	-	10	65485832	+	aid=376;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
484	10	65519600	-	11	83487628	+	aid=484;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
483	10	65527430	+	11	83487432	-	aid=483;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
400	10	68897387	-	10	68900277	+	aid=400;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
408	10	69876837	-	10	69891001	+	aid=408;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
418	10	71729736	-	10	71760828	+	aid=418;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
496	10	85813652	-	10	85830038	+	aid=496;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
511	10	88545492	-	10	88592598	+	aid=511;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
515	10	88927120	-	10	88951957	+	aid=515;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
534	10	92162441	-	10	92164521	+	aid=534;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
543	10	93725467	-	10	93735260	+	aid=543;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
683	10	97021621	-	11	126539434	+	aid=683;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
684	10	97030515	+	11	126540115	-	aid=684;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
8	10	113641212	-	16	1802421	+	aid=8;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}};at=N
208	10	115522773	+	19	35137136	-	aid=208;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
639	10	116311823	-	10	116329177	+	aid=639;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
665	10	121470706	-	10	121492612	+	aid=665;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
69	11	16052442	-	11	16055956	+	aid=69;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
118	11	22270951	-	11	22714070	+	aid=118;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
132	11	23941609	-	11	23946848	+	aid=132;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
140	11	25015041	-	11	25021085	+	aid=140;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
152	11	26364896	-	11	26375439	+	aid=152;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
213	11	35463338	-	11	35465113	+	aid=213;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
257	11	43198317	-	11	43207942	+	aid=257;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
266	11	46454245	-	11	46576169	+	aid=266;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
276	11	47991321	-	11	48038932	+	aid=276;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
591	11	49846949	+	13	104886139	-	aid=591;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
331	11	57998435	-	11	58001190	+	aid=331;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
336	11	58040890	-	11	59128103	+	aid=336;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
366	11	63823550	-	11	63831803	+	aid=366;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
383	11	67002665	-	11	67016343	+	aid=383;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
386	11	67341978	+	11	67344170	+	aid=386;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
388	11	67555999	-	11	67559447	+	aid=388;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '4': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
