aid	chr1	coord1	strand1	chr2	coord2	strand2	extra
138	10	56444805	+	10	114451921	+	aid=138;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
126	10	56536863	-	10	114064710	+	aid=126;cn={'2': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
83	10	56544175	+	10	94446752	+	aid=83;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
85	10	56544176	-	10	96219442	+	aid=85;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
87	10	56583110	-	10	97390006	-	aid=87;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
76	10	56584818	+	10	91203583	+	aid=76;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
64	10	64352846	+	10	89524085	+	aid=64;cn={'2': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}};at=N
58	10	64389089	-	10	88514637	-	aid=58;cn={'2': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}};at=N
135	10	64708419	+	10	114208503	-	aid=135;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
35	10	64708420	-	10	64753069	-	aid=35;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
90	10	64711416	+	10	99683745	-	aid=90;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
82	10	64717913	+	10	94438795	-	aid=82;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
120	10	64717964	-	10	113645007	+	aid=120;cn={'2': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
53	10	64727248	+	10	86376316	+	aid=53;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
105	10	64750076	-	10	104589905	-	aid=105;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}};at=N
61	10	64757979	+	10	88664275	+	aid=61;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
37	10	64786165	-	10	64795873	-	aid=37;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}};at=N
142	10	86376317	-	10	114833662	+	aid=142;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
143	10	86702041	+	10	114833663	-	aid=143;cn={'2': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}};at=N
77	10	86702042	-	10	91203584	-	aid=77;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
119	10	86705885	-	10	113638149	-	aid=119;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
103	10	86722468	+	10	103627136	-	aid=103;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
140	10	88415481	-	10	114476335	+	aid=140;cn={'2': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
56	10	88422085	+	10	88482428	-	aid=56;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
73	10	88439651	+	10	91170566	-	aid=73;cn={'2': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
104	10	88511140	-	10	104552728	-	aid=104;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
75	10	88513089	+	10	91176837	-	aid=75;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}};at=N
139	10	88516035	+	10	114451922	-	aid=139;cn={'2': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
122	10	88642633	-	10	113649964	+	aid=122;cn={'2': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}};at=N
125	10	88646620	+	10	114063503	-	aid=125;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
89	10	88653236	+	10	99679141	-	aid=89;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}};at=N
79	10	88678162	-	10	92472375	+	aid=79;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
72	10	89516366	+	10	91170360	+	aid=72;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
95	10	89516791	-	10	102786828	-	aid=95;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
93	10	89541641	+	10	102759409	-	aid=93;cn={'2': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
131	10	89541642	-	10	114185923	-	aid=131;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
69	10	89632854	+	10	90483461	-	aid=69;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
101	10	91175423	-	10	103396546	-	aid=101;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
80	10	91176075	+	10	93116158	-	aid=80;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
78	10	92111001	+	10	92111311	-	aid=78;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
111	10	92472376	-	10	105844861	-	aid=111;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
96	10	96219443	-	10	102787291	+	aid=96;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
97	10	97376235	+	10	102787292	-	aid=97;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
109	10	97390005	+	10	104658818	-	aid=109;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
112	10	99678935	+	10	105845157	+	aid=112;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
127	10	99682092	+	10	114072289	-	aid=127;cn={'2': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
134	10	102756799	+	10	114208502	+	aid=134;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
124	10	102756800	-	10	114062946	+	aid=124;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
141	10	102759287	+	10	114819360	-	aid=141;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
102	10	102771642	-	10	103407638	+	aid=102;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
133	10	103397905	+	10	114206731	-	aid=133;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
106	10	103398321	-	10	104651999	+	aid=106;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}};at=N
110	10	103407704	-	10	104675208	+	aid=110;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
113	10	103643933	+	10	105845239	-	aid=113;cn={'2': {'AA': 0, 'AB': 0, 'BA': 3, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}};at=N
107	10	104559811	+	10	104652000	-	aid=107;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
129	10	104669049	+	10	114098804	+	aid=129;cn={'2': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
128	10	104670473	-	10	114075818	+	aid=128;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 1, 'BA': 0, 'BB': 0}};at=N
114	10	104673058	+	10	105861166	+	aid=114;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
136	10	104675004	-	10	114217843	+	aid=136;cn={'2': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
137	10	105882086	+	10	114218067	-	aid=137;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
130	10	113638148	+	10	114098805	-	aid=130;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
132	10	114110067	+	10	114194115	+	aid=132;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
148	10	115147561	-	10	115719039	+	aid=148;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
47	13	40348323	+	13	74249292	-	aid=47;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
19	14	51712094	+	21	40516150	-	aid=19;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
20	14	51719800	-	21	42852518	+	aid=20;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
23	14	52458823	+	14	52488109	-	aid=23;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
18	14	52466576	+	21	39874985	+	aid=18;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
2	16	2470238	-	16	3207578	+	aid=2;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
7	17	4853923	+	17	11930420	+	aid=7;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
6	17	4854913	-	17	11910384	-	aid=6;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
5	17	4876475	+	19	8081027	-	aid=5;cn={'2': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}};at=N
4	17	11930421	-	19	6515796	+	aid=4;cn={'2': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}};at=N
68	2	25665731	+	10	89639551	+	aid=68;cn={'2': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}};at=N
67	2	26076775	-	10	89633058	-	aid=67;cn={'2': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}};at=N
1	2	29298166	+	16	1815772	-	aid=1;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
49	2	58307121	+	2	80058889	+	aid=49;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
50	2	77428334	-	2	80060403	-	aid=50;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
52	2	83029373	-	2	83502623	+	aid=52;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
70	2	90482000	-	2	90485347	+	aid=70;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
151	2	122213544	+	2	131855215	-	aid=151;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
161	2	122213545	-	2	227857378	-	aid=161;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
153	2	122214179	+	2	131889399	+	aid=153;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
152	2	122428996	-	2	131887754	+	aid=152;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 2, 'BA': 0, 'BB': 0}};at=N
150	2	122452215	+	2	122458159	-	aid=150;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
154	2	131338141	+	2	131892913	-	aid=154;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
160	2	131887755	-	2	227673140	+	aid=160;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}};at=N
3	20	3375596	+	20	3375936	-	aid=3;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
17	21	38114737	-	21	38388867	+	aid=17;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
9	22	18717961	-	22	18883628	-	aid=9;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
16	22	37170077	-	22	37170525	+	aid=16;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
11	3	6811675	+	3	31919827	-	aid=11;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
13	3	6822074	-	3	31922693	+	aid=13;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
12	3	12782388	+	3	31920034	+	aid=12;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
14	3	12782389	-	3	31926829	-	aid=14;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
155	3	151930566	+	3	152006434	-	aid=155;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
156	3	152207394	+	3	152655919	-	aid=156;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
157	3	152663892	+	3	152666259	-	aid=157;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}};at=N
158	3	153965063	+	3	154053616	-	aid=158;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
48	4	77260410	+	4	77263203	-	aid=48;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
92	4	102183140	+	4	102184098	-	aid=92;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
117	4	107840611	+	4	107840944	-	aid=117;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
30	5	57317778	-	5	58382280	+	aid=30;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
15	6	32643965	+	6	32644324	-	aid=15;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
146	6	70925835	+	10	115711916	-	aid=146;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
144	6	70925836	-	10	115147733	+	aid=144;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
145	6	70930388	+	10	115710515	+	aid=145;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
147	6	70930596	-	10	115718909	-	aid=147;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
118	6	80456173	+	6	108817543	-	aid=118;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
65	6	139082330	+	10	89529558	-	aid=65;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 1}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 2}};at=N
62	6	139082405	-	10	88664378	-	aid=62;cn={'2': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
55	6	139107429	-	10	88422152	-	aid=55;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
81	6	139130296	+	10	94438733	+	aid=81;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
27	6	139139315	-	10	55694484	+	aid=27;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
29	6	139168144	+	10	56434231	-	aid=29;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 1, 'BB': 0}};at=N
28	6	139168269	-	10	56434230	+	aid=28;cn={'2': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
88	6	139180093	+	10	99671061	-	aid=88;cn={'2': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 1, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
31	6	139251169	+	10	64711516	-	aid=31;cn={'2': {'AA': 0, 'AB': 0, 'BA': 2, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
32	6	140083035	-	10	64721746	+	aid=32;cn={'2': {'AA': 2, 'AB': 0, 'BA': 0, 'BB': 0}, '3': {'AA': 0, 'AB': 0, 'BA': 0, 'BB': 0}};at=N
